,steam_id_a,steam_id_b,lat_a,lon_a,country_a,lat_b,lon_b,country_b
2806,7.656119796039835e+16,7.656119796274448e+16,50.5289601,6.476920499999999,DE,47.497912,19.040235,HU
2931,7.656119796028323e+16,7.656119796299643e+16,36.0726354,-79.7919754,US,35.4087517,-80.579511,US
2932,7.656119796051973e+16,7.656119796299643e+16,44.3148443,-85.60236429999999,US,35.4087517,-80.579511,US
2933,7.656119796109186e+16,7.656119796299643e+16,45.5016889,-73.567256,CA,35.4087517,-80.579511,US
3016,7.656119796056502e+16,7.656119796312878e+16,37.09024,-95.712891,US,49.2827291,-123.1207375,CA
3170,7.656119796244838e+16,7.656119796335818e+16,-22.4149023,-47.5651394,BR,34.0633443,-117.6508876,US
3193,7.656119796093848e+16,7.65611979633682e+16,39.074208,21.824312,GR,39.66502880000001,20.8537466,GR
3194,7.656119796108963e+16,7.65611979633682e+16,37.9982945,23.7215764,GR,39.66502880000001,20.8537466,GR
3195,7.65611979625586e+16,7.65611979633682e+16,40.937607,24.412866,GR,39.66502880000001,20.8537466,GR
3196,7.656119796333011e+16,7.65611979633682e+16,40.6400629,22.9444191,GR,39.66502880000001,20.8537466,GR
3207,7.656119796029331e+16,7.656119796331957e+16,50.62925,3.057256,FR,48.8499198,2.6370411,FR
3233,7.656119796120613e+16,7.65611979634168e+16,47.6062095,-122.3320708,US,37.09024,-95.712891,US
3234,7.65611979630835e+16,7.65611979634168e+16,36.778261,-119.4179324,US,37.09024,-95.712891,US
3255,7.656119796047274e+16,7.656119796339491e+16,51.165691,10.451526,DE,53.7190281,-2.0727839,GB
3256,7.656119796096451e+16,7.656119796339491e+16,21.521757,-77.781167,CU,53.7190281,-2.0727839,GB
3260,7.656119796250547e+16,7.656119796342378e+16,-25.274398,133.775136,AU,51.4963341,6.863776499999999,DE
3339,7.656119796163152e+16,7.656119796352963e+16,43.653226,-79.3831843,CA,37.09024,-95.712891,US
3366,7.656119796034896e+16,7.65611979635653e+16,36.778261,-119.4179324,US,52.0406224,-0.7594171,GB
3367,7.656119796048232e+16,7.65611979635653e+16,53.4807593,-2.2426305,GB,52.0406224,-0.7594171,GB
3406,7.656119796037634e+16,7.656119796364974e+16,36.778261,-119.4179324,US,40.7127753,-74.0059728,US
3472,7.656119796046613e+16,7.656119796372611e+16,37.09024,-95.712891,US,35.907757,127.766922,KR
3538,7.656119796109256e+16,7.65611979638648e+16,39.4840108,-0.7532808999999999,ES,40.46366700000001,-3.74922,ES
3607,7.656119796169547e+16,7.656119796398542e+16,44.64876350000001,-63.5752387,CA,53.7190281,-2.0727839,GB
3662,7.6561197960991e+16,7.656119796403339e+16,59.43696079999999,24.7535747,EE,58.6035321,49.6667983,RU
3671,7.656119796249152e+16,7.656119796409632e+16,53.0540807,8.2529751,DE,9.748916999999999,-83.753428,CR
