,appid,total_playtime,appname,lat,lon,country
22276,219640,604,Chivalry: Medieval Warfare,37.09024,-95.712891,US
22282,221640,133,Super Hexagon,37.09024,-95.712891,US
22284,201790,59,Orcs Must Die! 2,37.09024,-95.712891,US
22286,113420,141,Fallen Earth,37.09024,-95.712891,US
22288,212070,345,Star Conflict,37.09024,-95.712891,US
22298,230410,2285,Warframe,37.09024,-95.712891,US
22334,236390,19146,War Thunder,37.09024,-95.712891,US
22349,238960,481,Path of Exile,37.09024,-95.712891,US
22353,262410,60,World of Guns: Gun Disassembly,37.09024,-95.712891,US
22358,265630,24,Fistful of Frags,37.09024,-95.712891,US
22359,224260,162,No More Room in Hell,37.09024,-95.712891,US
22360,227100,209,Sniper Elite: Nazi Zombie Army,37.09024,-95.712891,US
22374,203160,712,Tomb Raider,37.09024,-95.712891,US
22392,107410,23704,Arma 3,37.09024,-95.712891,US
22398,210770,341,Sanctum 2,37.09024,-95.712891,US
22407,35450,252,Rising Storm/Red Orchestra 2 Multiplayer,37.09024,-95.712891,US
22419,236090,51,Dust: An Elysian Tail,37.09024,-95.712891,US
22425,72850,1204,The Elder Scrolls V: Skyrim,37.09024,-95.712891,US
22433,243120,396,Betrayer,37.09024,-95.712891,US
22444,231430,433,Company of Heroes 2,37.09024,-95.712891,US
22448,234390,59,Teleglitch: Die More Edition,37.09024,-95.712891,US
22449,248820,123,Risk of Rain,37.09024,-95.712891,US
22452,250340,160,Blockland,37.09024,-95.712891,US
22455,250900,629,The Binding of Isaac: Rebirth,37.09024,-95.712891,US
22490,252470,819,Space Pirates and Zombies 2,37.09024,-95.712891,US
22495,253630,19,Steam Marines,37.09024,-95.712891,US
22496,205100,761,Dishonored,37.09024,-95.712891,US
22510,247910,84,Sniper Elite: Nazi Zombie Army 2,37.09024,-95.712891,US
22516,42910,1360,Magicka,37.09024,-95.712891,US
22553,242680,396,Nuclear Throne,37.09024,-95.712891,US
22557,262060,1211,Darkest Dungeon®,37.09024,-95.712891,US
22580,268650,138,From The Depths,37.09024,-95.712891,US
22581,269210,39,Hero Siege,37.09024,-95.712891,US
22583,270150,2068,RUNNING WITH RIFLES,37.09024,-95.712891,US
22591,550,418,Left 4 Dead 2,37.09024,-95.712891,US
22601,274190,630,Broforce,37.09024,-95.712891,US
